timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616099575015,21310,Login User,200,,Load Testing 1-24,text,true,,261,223,940,940,http://localhost:8082/users/login,21310,0,0
1616099574675,21661,User Controller,200,,Load Testing 1-966,,true,,598,463,939,939,null,0,0,0
1616099574675,30,Create User (signup),201,,Load Testing 1-966,text,true,,337,240,1000,1000,http://localhost:8082/users/create,30,0,1
1616099575015,21321,Login User,200,,Load Testing 1-966,text,true,,261,223,939,939,http://localhost:8082/users/login,21321,0,0
1616099574542,21796,User Controller,200,,Load Testing 1-974,,true,,598,463,938,938,null,0,0,0
1616099574543,72,Create User (signup),201,,Load Testing 1-974,text,true,,337,240,988,988,http://localhost:8082/users/create,71,0,0
1616099574616,21722,Login User,200,,Load Testing 1-974,text,true,,261,223,938,938,http://localhost:8082/users/login,21722,0,0
1616099573602,22777,User Controller,200,,Load Testing 1-518,,true,,598,463,937,937,null,0,0,0
1616099573700,1199,Create User (signup),201,,Load Testing 1-518,text,true,,337,240,1000,1000,http://localhost:8082/users/create,1199,0,213
1616099575016,21363,Login User,200,,Load Testing 1-518,text,true,,261,223,937,937,http://localhost:8082/users/login,21363,0,0
1616099573647,22754,User Controller,200,,Load Testing 1-402,,true,,598,463,936,936,null,0,0,0
1616099573747,735,Create User (signup),201,,Load Testing 1-402,text,true,,337,240,948,948,http://localhost:8082/users/create,735,0,54
1616099575016,21385,Login User,200,,Load Testing 1-402,text,true,,261,223,936,936,http://localhost:8082/users/login,21385,0,0
1616099573941,22489,User Controller,200,,Load Testing 1-712,,true,,598,463,935,935,null,0,0,0
1616099573956,402,Create User (signup),201,,Load Testing 1-712,text,true,,337,240,916,916,http://localhost:8082/users/create,402,0,1
1616099575016,21414,Login User,200,,Load Testing 1-712,text,true,,261,223,935,935,http://localhost:8082/users/login,21414,0,0
1616099574045,22445,User Controller,200,,Load Testing 1-36,,true,,598,463,934,934,null,0,0,0
1616099574046,433,Create User (signup),201,,Load Testing 1-36,text,true,,337,240,943,943,http://localhost:8082/users/create,433,0,1
1616099575016,21474,Login User,200,,Load Testing 1-36,text,true,,261,223,934,934,http://localhost:8082/users/login,21474,0,0
1616099573590,22972,User Controller,200,,Load Testing 1-504,,true,,598,463,933,933,null,0,0,0
1616099573702,1257,Create User (signup),201,,Load Testing 1-504,text,true,,337,240,1000,1000,http://localhost:8082/users/create,1257,0,173
